"full","location","plot","treat","BI","KEY"
"B4_CW_11","S11","B4","CW",0.10516277356629,"B4CWS11"
"B4_CW_12","S12","B4","CW",0.0700603537184381,"B4CWS12"
"B4_CW_13","S13","B4","CW",0.112937603351622,"B4CWS13"
"B4_CW_14","S14","B4","CW",0.109166069953469,"B4CWS14"
"B4_CW_15","S15","B4","CW",0.0787966159030391,"B4CWS15"
"B4_CW_2","S2","B4","CW",0.0767592831275597,"B4CWS2"
"B4_CW_3","S3","B4","CW",0.030707119472489,"B4CWS3"
"B4_CW_4","S4","B4","CW",0.0876925556781469,"B4CWS4"
"B4_CW_5","S5","B4","CW",0.0680678350390681,"B4CWS5"
"B4_CW_6","S6","B4","CW",0.0899194673955385,"B4CWS6"
"B4_CW_7","S7","B4","CW",0.10834877869294,"B4CWS7"
"B4_CW_8","S8","B4","CW",0.0852205697574698,"B4CWS8"
"B4_CW_9","S9","B4","CW",0.0538788329493044,"B4CWS9"
"B5_CW_1","S1","B5","CW",0.116672585230173,"B5CWS1"
"B5_CW_10","S10","B5","CW",0.14077903243649,"B5CWS10"
"B5_CW_11","S11","B5","CW",0.0757340842789708,"B5CWS11"
"B5_CW_12","S12","B5","CW",0.126645545494369,"B5CWS12"
"B5_CW_13","S13","B5","CW",0.142236138945516,"B5CWS13"
"B5_CW_14","S14","B5","CW",0.117073312293943,"B5CWS14"
"B5_CW_15","S15","B5","CW",0.125430664556116,"B5CWS15"
"B5_CW_2","S2","B5","CW",0.108609796027701,"B5CWS2"
"B5_CW_3","S3","B5","CW",0.0471791353104038,"B5CWS3"
"B5_CW_4","S4","B5","CW",0.0689050095780733,"B5CWS4"
"B5_CW_5","S5","B5","CW",0.0672606624180169,"B5CWS5"
"B5_CW_6","S6","B5","CW",0.104478206815456,"B5CWS6"
"B5_CW_7","S7","B5","CW",0.110032140722412,"B5CWS7"
"B5_CW_8","S8","B5","CW",0.0725766093370403,"B5CWS8"
"B5_CW_9","S9","B5","CW",0.115192848454603,"B5CWS9"
"B1_LC_1","S1","B1","LC",0.126373139020805,"B1LCS1"
"B1_LC_10","S10","B1","LC",0.12637831494653,"B1LCS10"
"B1_LC_11","S11","B1","LC",0.121641900116316,"B1LCS11"
"B1_LC_12","S12","B1","LC",0.121979379611188,"B1LCS12"
"B1_LC_13","S13","B1","LC",0.0969094109371279,"B1LCS13"
"B1_LC_14","S14","B1","LC",0.122240951521099,"B1LCS14"
"B1_LC_15","S15","B1","LC",0.107477265092881,"B1LCS15"
"B1_LC_2","S2","B1","LC",0.110269681185181,"B1LCS2"
"B1_LC_3","S3","B1","LC",0.0913573053730487,"B1LCS3"
"B1_LC_4","S4","B1","LC",0.125571817460819,"B1LCS4"
"B1_LC_5","S5","B1","LC",0.149932915095582,"B1LCS5"
"B1_LC_6","S6","B1","LC",0.118090751884012,"B1LCS6"
"B1_LC_7","S7","B1","LC",0.121880376343629,"B1LCS7"
"B1_LC_8","S8","B1","LC",0.140460625053583,"B1LCS8"
