"ID","Plot","Treat","Type","Rep","NDVI","CI1","CI2"
"B1_CC_DCY_1","B1","CC","DCY","1","0.144486121110869","0.344349259775374","0.0316911818434596"
"B1_CC_DCY_2","B1","CC","DCY","2","0.148707649986391","0.347637636605861","0.0327057061858001"
"B1_CC_DCY_3","B1","CC","DCY","3","0.133979213987482","0.333831396040031","0.0295539245897123"
"B1_CC_LCN_1","B1","CC","LCN","1","0.156119479512976","0.332525786337244","0.0341546273379681"
"B1_CC_LCN_2","B1","CC","LCN","2","0.202057294081652","0.29078957346184","0.0387178318606723"
"B1_CC_LCN_3","B1","CC","LCN","3","0.260915150024055","0.303835316673012","0.0547937085038251"
"B1_CC_MSS_1","B1","CC","MSS","1","0.202553137489518","0.36506843106774","0.0464922861265277"
"B1_CC_MSS_2","B1","CC","MSS","2","0.302484048972356","0.372596000020471","0.0699498095449569"
"B1_CC_MSS_3","B1","CC","MSS","3","0.31992404768812","0.435205622030308","0.0920459595733262"
"B1_CW_LCY_1","B1","CW","LCY","1","0.118694522788017","0.384730126719964","0.0297630865598934"
"B1_CW_LCY_2","B1","CW","LCY","2","0.130386499152657","0.390000507234568","0.0311429006755928"
"B1_CW_LCY_3","B1","CW","LCY","3","0.146494031634103","0.367129446471929","0.0327325286989062"
"B1_CW_DCY_1","B1","CW","DCY","1","0.174217956527411","0.314661203328977","0.0356917977715962"
"B1_CW_DCY_2","B1","CW","DCY","2","0.167745844928554","0.338651057452404","0.0357795667292014"
"B1_CW_DCY_3","B1","CW","DCY","3","0.173053316201951","0.291516879371717","0.0331668455507861"
"B1_CW_LCN_1","B1","CW","LCN","1","0.260666466011919","0.351971249538318","0.0622209776628315"
"B1_CW_LCN_2","B1","CW","LCN","2","0.263702562715326","0.344584644931255","0.0608485458671256"
"B1_CW_LCN_3","B1","CW","LCN","3","0.232542400869663","0.290165275056728","0.0450755544739816"
"B1_CW_MSS_1","B1","CW","MSS","1","0.167948490911169","0.392044758329816","0.0459080155216302"
"B1_CW_MSS_2","B1","CW","MSS","2","0.304461028082892","0.369632154151279","0.077795137219658"
"B1_CW_MSS_3","B1","CW","MSS","3","0.319341630891265","0.401957569229052","0.0840109491792303"
"B2_CC_LCY_1","B2","CC","LCY","1","0.120344588079342","0.399472794475399","0.0305062714165747"
"B2_CC_LCY_2","B2","CC","LCY","2","0.112446020089673","0.378112068011094","0.0287641909769837"
"B2_CC_LCY_3","B2","CC","LCY","3","0.119993041025921","0.396261620035092","0.0298133766215822"
"B2_CC_DCY_1","B2","CC","DCY","1","0.194355979821129","0.366143464773429","0.0428100106043819"
"B2_CC_DCY_2","B2","CC","DCY","2","0.165645167838992","0.28078338865845","0.0329743665171675"
"B2_CC_DCY_3","B2","CC","DCY","3","0.133313153033415","0.366916153449235","0.0300472040585419"
"B2_CC_LCN_1","B2","CC","LCN","1","0.390449033337017","0.317020898363412","0.0985177153943437"
"B2_CC_LCN_2","B2","CC","LCN","2","0.30296640239142","0.30583785006075","0.0624889064941119"
"B2_CC_LCN_3","B2","CC","LCN","3","0.225095140841911","0.372426690749681","0.0495752451421752"
