ID,Plot,Treat,Sensor,CBLUE,BLUE,GREEN,YELLOW,RED,REDEDGE,NIR,NDVI,CI1,CI2,Temperature Index
B5_LC,B5,LC,C. MicaSense,0.068308,0.078285,0.104602,NA,0.17956,0.213236667,0.253922,0.171545762,NA,NA,NA
B5_LW,B5,LW,C. MicaSense,0.070875,0.08086,0.1082575,NA,0.185313,0.216810667,0.255151,0.158555523,NA,NA,NA
B5_CW,B5,CW,C. MicaSense,0.067176,0.076443,0.0979555,NA,0.149408,0.176127,0.208427,0.164933559,NA,NA,NA
B1_CC,B1,CC,D. WorldView3,0.146225002,0.11365498,0.09935859,0.110840519,0.129624305,0.137777404,0.171779363,0.139862458,NA,NA,NA
B1_LC,B1,LC,D. WorldView3,0.143113831,0.112572551,0.092635076,0.095468476,0.107777512,0.138708332,0.185976005,0.266204447,NA,NA,NA
B1_LW,B1,LW,D. WorldView3,0.149336172,0.117984693,0.098611533,0.110031464,0.1267114,0.144293902,0.184556341,0.185836608,NA,NA,NA
B1_CW,B1,CW,D. WorldView3,0.147262058,0.110407694,0.093382133,0.097086586,0.111418645,0.124744406,0.165390875,0.194979675,NA,NA,NA
B2_CC,B2,CC,D. WorldView3,0.147262058,0.115819836,0.101599761,0.110031464,0.12452672,0.147086688,0.178167852,0.17721207,NA,NA,NA
B2_LC,B2,LC,D. WorldView3,0.151410285,0.12014955,0.108323274,0.125403507,0.133265438,0.15174133,0.185976005,0.165111919,NA,NA,NA
B2_LW,B2,LW,D. WorldView3,0.150373229,0.116902265,0.109070331,0.126212562,0.14710174,0.161981542,0.201592311,0.156270435,NA,NA,NA
B2_CW,B2,CW,D. WorldView3,0.145187945,0.111490123,0.093382133,0.09951375,0.107049286,0.121020692,0.153323729,0.177723653,NA,NA,NA
B3_CC,B3,CC,D. WorldView3,0.143113831,0.110407694,0.097117418,0.097895641,0.107777512,0.121020692,0.166810539,0.214987601,NA,NA,NA
B3_LC,B3,LC,D. WorldView3,0.150373229,0.119067121,0.103840932,0.118122013,0.1267114,0.1573269,0.17745802,0.166836694,NA,NA,NA
B3_LW,B3,LW,D. WorldView3,0.150373229,0.121231978,0.108323274,0.128639726,0.144917061,0.154534115,0.195913654,0.149624407,NA,NA,NA
B3_CW,B3,CW,D. WorldView3,0.148299115,0.116902265,0.09935859,0.111649574,0.128167853,0.140570189,0.17745802,0.161276161,NA,NA,NA
B4_CC,B4,CC,D. WorldView3,0.150373229,0.114737408,0.097864475,0.108413354,0.117244456,0.136846475,0.169649867,0.18266451,NA,NA,NA
B4_LC,B4,LC,D. WorldView3,0.149336172,0.125561692,0.115793845,0.128639726,0.151471099,0.173152683,0.210110296,0.162174266,NA,NA,NA
B4_LW,B4,LW,D. WorldView3,0.153484399,0.123396835,0.11205856,0.131875946,0.14710174,0.168498041,0.205851303,0.1664515,NA,NA,NA
B4_CW,B4,CW,D. WorldView3,0.150373229,0.119067121,0.101599761,0.111649574,0.121613815,0.135915547,0.168940035,0.162882786,NA,NA,NA
B5_CC,B5,CC,D. WorldView3,0.145187945,0.115819836,0.098611533,0.101940915,0.119429135,0.12846812,0.164681043,0.15927591,NA,NA,NA
B5_LC,B5,LC,D. WorldView3,0.148299115,0.115819836,0.102346818,0.109222409,0.131808985,0.137777404,0.188815333,0.177797956,NA,NA,NA
B5_LW,B5,LW,D. WorldView3,0.152447342,0.121231978,0.10682916,0.128639726,0.144188834,0.167567113,0.199462815,0.160843053,NA,NA,NA
B5_CW,B5,CW,D. WorldView3,0.149336172,0.116902265,0.100852704,0.107604299,0.125254947,0.142432046,0.170359699,0.152579559,NA,NA,NA
B1_CC,B1,CC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.4623
B1_LC,B1,LC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731.7762
B1_LW,B1,LW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.3466
B1_CW,B1,CW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728.4629
B2_CC,B2,CC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723.5401
B2_LC,B2,LC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729.6303
B2_LW,B2,LW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727.1366
B2_CW,B2,CW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724.702
B3_CC,B3,CC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722.1456
B3_LC,B3,LC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729.9115
