"Spectra","Plot","Block","Treatment","Litter","Rock","Bare","Live","Dead","Lichen","Moss","Dark","Light"
"S9","B","1","LW","0.4","0","0","0.12","0","0","0","0.04","0.6"
"S9","B","2","LW","0.68","0.16","0","0.24","0","0","0","0","0.24"
"S9","B","3","LW","0.6","0.04","0","0.16","0","0","0","0","0.4"
"S9","B","4","LW","0.84","0.08","0.12","0.36","0.08","0","0","0.04","0.28"
"S9","B","5","LW","0.36","0.24","0.04","0.2","0.12","0","0","0","0.4"
"S9","B","1","W","0.8","0","0","1","0.12","0","0","0.12","0.12"
"S9","B","2","W","0.64","0","0","0.2","0.04","0","0.04","0.32","0.04"
"S9","B","3","W","0.72","0","0","0.44","0.24","0.04","0.08","0","0.2"
"S9","B","4","W","0.64","0.28","0","0.68","0.16","0","0","0.2","0.12"
"S9","B","5","W","0.6","0","0.04","1.08","0.2","0","0.04","0","0.36"
"S10","B","1","C","0.44","0","0","0.16","0.08","0.16","0.2","0.08","0.2"
"S10","B","2","C","0.52","0","0","0.44","0.04","0.16","0.36","0.04","0.04"
"S10","B","3","C","0.6","0","0","0.04","0","0.04","0.68","0","0.12"
"S10","B","4","C","0.72","0","0","0.32","0.04","0.04","0.64","0.04","0"
"S10","B","5","C","0.64","0","0","0.36","0.12","0","0.2","0","0.08"
"S10","B","1","L","0.52","0.04","0","0.4","0.04","0.04","0","0.12","0.24"
"S10","B","2","L","0.56","0.12","0","0.12","0","0.08","0.08","0","0.2"
"S10","B","3","L","0.28","0","0","0.12","0","0.2","0.24","0.16","0.2"
"S10","B","4","L","0.52","0.24","0","0.24","0","0.04","0","0","0.36"
"S10","B","5","L","0.96","0","0","0.12","0.04","0","0.16","0.04","0.12"
"S10","B","1","LW","0.48","0.08","0","0.28","0","0","0","0.04","0.4"
"S10","B","2","LW","0.32","0.12","0","0.04","0","0","0","0","0.76"
"S10","B","3","LW","0.52","0","0","0.12","0","0","0","0.04","0.52"
"S10","B","4","LW","1","0","0.04","0.04","0","0.04","0","0.12","0.08"
"S10","B","5","LW","0.96","0","0","0.48","0","0","0","0","0.12"
"S10","B","1","W","0.52","0","0","0.72","0.08","0.04","0","0.28","0.2"
"S10","B","2","W","0.52","0.08","0","0.4","0.04","0.04","0","0.36","0.08"
"S10","B","3","W","0.88","0","0","1.88","0.36","0","0","0","0"
"S10","B","4","W","0.48","0","0","0.24","0.08","0","0.04","0.2","0.48"
"S10","B","5","W","0.76","0","0","0.56","0.12","0.04","0.2","0.08","0.28"
