Dir,Plot,Tmp,Wtr,Treat,Rep,Loc,File
Plot_1meter,B2,C,C,CC,1,14,399
Plot_1meter,B2,C,C,CC,2,14,400
Plot_1meter,B2,C,C,CC,3,14,401
Plot_1meter,B2,C,C,CC,1,15,402
Plot_1meter,B2,C,C,CC,2,15,403
Plot_1meter,B2,C,C,CC,3,15,404
Plot_1meter,B2,L,C,LC,1,1,450
Plot_1meter,B2,L,C,LC,2,1,451
Plot_1meter,B2,L,C,LC,3,1,452
Plot_1meter,B2,L,C,LC,1,2,453
Plot_1meter,B2,L,C,LC,2,2,454
Plot_1meter,B2,L,C,LC,3,2,455
Plot_1meter,B2,L,C,LC,1,3,456
Plot_1meter,B2,L,C,LC,2,3,457
Plot_1meter,B2,L,C,LC,3,3,458
Plot_1meter,B2,L,C,LC,1,4,459
Plot_1meter,B2,L,C,LC,2,4,460
Plot_1meter,B2,L,C,LC,3,4,461
Plot_1meter,B2,L,C,LC,1,5,462
Plot_1meter,B2,L,C,LC,2,5,463
Plot_1meter,B2,L,C,LC,3,5,464
Plot_1meter,B2,L,C,LC,1,6,465
Plot_1meter,B2,L,C,LC,2,6,466
Plot_1meter,B2,L,C,LC,3,6,467
Plot_1meter,B2,L,C,LC,1,7,468
Plot_1meter,B2,L,C,LC,2,7,469
Plot_1meter,B2,L,C,LC,3,7,470
Plot_1meter,B2,L,C,LC,1,8,471
Plot_1meter,B2,L,C,LC,2,8,472
Plot_1meter,B2,L,C,LC,3,8,473
Plot_1meter,B2,L,C,LC,1,9,474
Plot_1meter,B2,L,C,LC,2,9,475
Plot_1meter,B2,L,C,LC,3,9,476
Plot_1meter,B2,L,C,LC,1,10,477
Plot_1meter,B2,L,C,LC,2,10,478
Plot_1meter,B2,L,C,LC,3,10,479
Plot_1meter,B2,L,C,LC,1,11,480
Plot_1meter,B2,L,C,LC,2,11,481
Plot_1meter,B2,L,C,LC,3,11,482
Plot_1meter,B2,L,C,LC,1,12,483
Plot_1meter,B2,L,C,LC,2,12,484
Plot_1meter,B2,L,C,LC,3,12,485
